Equipo,J0,J1,J2,J3,J4,J5,J6,J7
Alavés,0.7999999999999999,1.3,0.2,2.2000000000000006,2.3000000000000007,1.2,1.6000000000000003,3.1000000000000014
Athletic Club,36.900000000000254,33.2000000000002,27.60000000000012,33.500000000000206,19.60000000000001,27.50000000000012,31.60000000000018,47.0000000000004
Atlético Madrid,79.29999999999977,78.19999999999983,82.59999999999958,77.19999999999989,86.99999999999933,87.99999999999928,90.19999999999916,93.59999999999896
Barcelona,92.799999999999,96.89999999999876,96.4999999999988,98.39999999999868,98.69999999999868,99.59999999999862,99.8999999999986,99.7999999999986
Betis,9.79999999999998,9.199999999999983,9.599999999999982,11.399999999999975,9.199999999999983,9.599999999999982,9.299999999999985,6.499999999999993
Celta Vigo,2.700000000000001,2.600000000000001,5.099999999999998,2.2000000000000006,1.3,1.5000000000000002,1.4,2.0000000000000004
Espanyol,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Getafe,0.3,0.6,0.5,0.5,0.2,0.1,0.2,0.0
Girona,46.000000000000384,50.60000000000045,44.80000000000037,46.60000000000039,61.80000000000061,43.70000000000035,40.3000000000003,20.200000000000017
Las Palmas,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0
Mallorca,0.5,0.7,0.3,0.0,0.3,0.1,0.7,1.7000000000000004
Osasuna,0.2,0.6,0.3,0.3,0.7999999999999999,0.5,0.5,0.6
Rayo Vallecano,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.6
Real Madrid,99.8999999999986,99.59999999999862,99.49999999999862,99.59999999999862,99.49999999999862,99.6999999999986,99.8999999999986,99.9999999999986
Real Sociedad,19.1,11.299999999999976,15.49999999999996,7.899999999999988,4.999999999999998,4.6,2.900000000000001,2.0000000000000004
Sevilla,1.4,1.6000000000000003,0.3,0.4,0.4,0.5,0.4,0.1
Valencia,0.3,0.6,0.5,0.1,0.1,0.0,0.1,0.30000000000000004
Villarreal,9.89999999999998,12.79999999999997,16.399999999999963,19.70000000000001,13.799999999999969,23.30000000000006,20.900000000000027,22.50000000000005
